id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port1384,Waterford_Ireland,IRL,POINT (-7.040144356754386 52.2673227844495),52.267322784449505,-7.040144356754386,2730620096.5354633,2518936231.6753793,195662696.67496687,5445219024.885809
port450,Hanko_Finland,FIN,POINT (22.92974015449436 59.82011054332948),59.820110543329484,22.929740154494358,2706072614.6622496,4194451602.0069413,1023250.9444149096,6901547467.613606
port1353,Varberg_Sweden,SWE,POINT (12.2439695849857 57.11530681337532),57.11530681337532,12.243969584985702,2703278364.7251153,731768547.9522333,84706511.59821482,3519753424.2755632
port693,Manaus_Brazil,BRA,POINT (-59.96029805129589 -3.134152922423258),-3.134152922423258,-59.96029805129589,2698707172.365264,17378646946.795654,1367706.5397812314,20078721825.7007
port999,Porto De Leizoes_Portugal,PRT,POINT (-8.697575117969871 41.19448451421975),41.19448451421975,-8.69757511796987,2692961197.176277,2682363204.579434,5371359637.942097,10746684039.697807
port1208,Slagenstangen_Norway,NOR,POINT (10.51438097791204 59.31819836365456),59.31819836365456,10.514380977912042,2691415656.4985895,1879511253.3124413,660002111.8293978,5230929021.6404295
port406,Gorgon LNG_Australia,AUS,POINT (115.4597615656942 -20.79232174218242),-20.79232174218242,115.45976156569424,2689976863.6290793,22160283013.286392,190.66375069050372,24850260067.57922
port1211,Songkhla Harbor_Thailand,THA,POINT (100.5712732732041 7.228638224011132),7.228638224011132,100.5712732732041,2631100685.9510326,1429224022.2215178,33819644.45294278,4094144352.625493
port529,Kakinada Bay_India,IND,POINT (82.2718926251268 16.98707395493827),16.987073954938268,82.2718926251268,2606951248.436994,9890308635.159573,159119955.40222853,12656379838.998796
port1425,Zhangjiangang_China,CHN,POINT (120.4288102426073 31.97462356098828),31.974623560988285,120.42881024260733,2606601389.844361,6432200116.540687,394981091.80305123,9433782598.188099
port931,Port Angeles_Canada,CAN,POINT (-123.4543289538694 48.12879898102893),48.12879898102893,-123.45432895386938,2565432954.4607863,124375019.32660538,1317014847.5603697,4006822821.347761
port15,Ako_Japan,JPN,POINT (134.361613773323 34.74741074074917),34.747410740749174,134.361613773323,2563217287.839803,4716156484.232124,0.0,7279373772.071928
port1119,Saganoseki Ko_Japan,JPN,POINT (131.875202922181 33.25466589200735),33.254665892007345,131.87520292218096,2560662131.7911654,2550177127.1976614,55436755.90794499,5166276014.896771
port965,Port Louis_Mauritius,MUS,POINT (57.49585986825772 -20.1494178915164),-20.149417891516404,57.495859868257725,2545650720.62406,3723174683.1200504,1835301641.049315,8104127044.793425
port876,Palm Beach_U.S.A.,USA,POINT (-80.05581496660578 26.76801713301455),26.768017133014553,-80.05581496660578,2501468507.746322,319126288.1910003,152698533.67662686,2973293329.6139493
port964,Port Lincoln_Australia,AUS,POINT (135.8701997903774 -34.72199883261262),-34.72199883261262,135.87019979037743,2500774590.7738047,592133881.0001812,18426091.648986336,3111334563.422972
port956,Port Hueneme_U.S.A.,USA,POINT (-119.2094451470752 34.15605249221895),34.156052492218954,-119.20944514707523,2490273993.629987,9487820346.558811,1375718880.1038847,13353813220.292683
